선정된해, 사업장명21,소재지21,업종21,임금21,일생활균형21,고용안정21,비고,,선정된해,사업장명,소재지,위도,경도,업종,기업규모,임금22,일생활균형22,고용안정22,비고,랭킹,비교,임금,일생활균형,고용안정
2021,(주)니트머스,"서울특별시 중구 명동길 65, 11층(명동1가, 보림빌딩)",정보통신업,1,1,1,3,,2022,(주)니트머스,"서울특별시 중구 명동길 65, 11층(명동1가,보림빌딩)",37.564146,126.985886,정보통신업,중소기업 28,1,1,1,3,1,=,2,2,2
2021,(주)동구바이오제약,"서울특별시 송파구 법원로 114, B동 14층(문정동, 엠스테이트)",제조업,1,1,1,3,,2022,(주)동구바이오제약,서울특별시 송파구 법원로 114 엠스테이트B동 14층,37.4859826,127.1197497,제조업,중견기업 365,1,1,1,3,1,=,2,2,2
2021,(주)라톤테크,"서울특별시 금천구 디지털로9길 32, B-1501(가산동, 갑을그레이트밸리)",정보통신업,1,1,1,3,,2022,(주)라톤테크,"서울특별시 금천구 디지털로9길 32, B-1501호(가산동,갑을그레이트밸리)",37.4794491,126.8874768,정보통신업,중소기업 32,1,1,1,3,1,=,2,2,2
2021,(주)불스원,"서울특별시 강남구 테헤란로 306(역삼동, 카이트타워)",제조업,1,1,1,3,,2022,(주)불스원,"서울특별시 강남구 테헤란로 306, 카이트타워 6층",37.5025597,127.044093,제조업,중견기업 253,1,1,1,3,1,=,2,2,2
2021,(주)소만사,"서울특별시 영등포구 영신로 220(영등포동8가, KnK디지털타워 9층)",정보통신업,1,1,1,3,,2022,(주)소만사,"서울특별시 영등포구 영신로 220, 9층(영등포동8가,KnK디지털타워)",37.526554,126.904299,정보통신업,중소기업 320,1,1,1,3,1,=,2,2,2
2021,(주)스틸리언,"서울특별시 용산구 원효로90길 11, 더프라임타워 업무동 12층",정보통신업,1,1,1,3,,2022,(주)스틸리언,"서울특별시 용산구 원효로 90길 11, 업무동 12층(더프라임타워)",37.5401471,126.9700791,정보통신업,중소기업 53,1,1,1,3,1,=,2,2,2
2021,(주)신티에스,"서울특별시 구로구 디지털로33길 55, 이앤씨벤처드림타워 2차 801호",도매 및 소매업,1,1,1,3,,2022,(주)신티에스,"서울특별시 구로구 디지털로33길 55, 801호(구로동,이앤씨벤처드림타워2차) ",37.487013,126.8931959,도매 및 소매업,중소기업 111,1,1,1,3,1,=,2,2,2
2021,(주)아이더스코리아,"서울특별시 강서구 양천로 376, 7층(가양동, 델타빌딩)","전문, 과학 및 기술 서비스업",1,1,1,3,,2022,(주)아이더스코리아,"서울특별시 강서구 양천로 376, 7~9층(가양동,델타빌딩)",37.5667835,126.843755,"전문, 과학 및 기술 서비스업",중소기업 85,1,1,1,3,1,=,2,2,2
2021,(주)아이포트폴리오,"서울특별시 중구 남대문로9길 24, 1102호(다동, 패스트파이브타워)",정보통신업,1,1,1,3,,2022,(주)아이포트폴리오,"서울특별시 중구 남대문로9길 24, 패스트파이브타워 다동 11층",37.567102,126.9811195,정보통신업,중소기업 36,1,1,1,3,1,=,2,2,2
2021,(주)에어코드,"서울특별시 금천구 가산디지털2로 123, 13층(1314~1317호)(가산동, 월드메르디앙벤처센터2차)",정보통신업,1,1,1,3,,2022,(주)에어코드,"서울특별시 금천구 가산디지털2로 123, 13층(가산동,월드메르디앙2차)  ",37.4787503,126.8786525,정보통신업,중소기업 49,1,1,1,3,1,=,2,2,2
2021,(주)영림원소프트랩,서울특별시 강서구 양천로 583(우림블루나인 비즈니스센터 A동 23층),정보통신업,1,1,1,3,,2022,(주)영림원소프트랩,"서울특별시 강서구 양천로 583, A동 23층(염창동,우림블루9 비즈니스센터)",37.556904,126.8642901,정보통신업,중소기업 312,1,1,1,3,1,=,2,2,2
2021,(주)오픈한,"서울특별시 중랑구 겸재로 121, 오즈빌딩 (면목동)",도매 및 소매업,1,1,1,3,,2022,(주)오픈한,"서울특별시 성동구 연무장5가길 25, 1311호(성수동2가, SK V1타워)",37.5433863,127.0554176,도매 및 소매업,중소기업 38,1,1,1,3,1,=,2,2,2
2021,(주)이노룰스,"서울특별시 송파구 법원로6길 7, 12층(문정동, 유탑테크밸리)",정보통신업,1,1,1,3,,2022,(주)이노룰스,"서울특별시 송파구 법원로6길 7, 12층(문정동,유탑테크밸리)",37.5628859,126.9843405,정보통신업,중소기업 76,1,1,1,3,1,=,2,2,2
2021,(주)이액티브,"서울특별시 영등포구 양평로 157, 1411호",정보통신업,1,1,1,3,,2022,(주)이액티브,"서울특별시 영등포구 양평로 157, 1411호(양평동5가,선유도투웨니퍼스트밸리)",37.537865,126.893927,정보통신업,중소기업 38,1,1,1,3,1,=,2,2,2
2021,(주)인포큐브,"서울특별시 송파구 법원로11길 11, B동 1001,1002,1003호(문정동, 문정현대지식산업센터1-1)",정보통신업,1,1,1,3,,2022,(주)인포큐브,"서울특별시 송파구 법원로11길 11, B동 1001호(현대지식산업센터)",37.5145437,127.1065971,정보통신업,중소기업 13,1,1,1,3,1,=,2,2,2
2021,(주)임픽스,"서울특별시 동대문구 천호대로 375, 학인빌딩 3층(장안동)",정보통신업,1,1,1,3,,2022,(주)임픽스,"서울특별시 동대문구 천호대로 375, 3층(장안동,학인빌딩)",37.5707582,127.0738212,정보통신업,중소기업 72,1,1,1,3,1,=,2,2,2
2021,(주)지란지교시큐리티,"서울특별시 강남구 역삼로 542, 5층(대치동, 신사에스앤지)","전문, 과학 및 기술 서비스업",1,1,1,3,,2022,(주)지란지교시큐리티,"서울특별시 강남구 역삼로 542, 5층(대치동,신사S&G빌딩)",37.5039421,127.062331,"전문, 과학 및 기술 서비스업",중소기업 137,1,1,1,3,1,=,2,2,2
2021,(주)지엔엠라이프,"서울특별시 영등포구 선유로 130(양평동3가, 에이스 하이테크시티3)",도매 및 소매업,1,1,1,3,,2022,(주)지엔엠라이프,"서울특별시 영등포구 선유로 130, 13층(양평동3가,에이스하이테크시티3)",37.5251957,126.8913598,도매 및 소매업,중소기업 70,1,1,1,3,1,=,2,2,2
2021,(주)케이아이엔엑스,"서울특별시 서초구 서초대로 396, 21층(서초동, 강남빌딩)",정보통신업,1,1,1,3,,2022,(주)케이아이엔엑스,"서울특별시 강남구 강남대로 636, 7층,10층(신사동,두원빌딩)",37.5185373,127.0192781,정보통신업,중소기업 147,1,1,1,3,1,=,2,2,2
2021,(주)코어트러스트,"서울특별시 구로구 디지털로34길 55 , 307호(구로동, 코오롱싸이언스밸리2차)",정보통신업,1,1,1,3,,2022,(주)코어트러스트,"서울특별시 구로구 디지털로34길 55, 307호(구로동,코오롱싸이언스밸리2차)",37.4842333,126.8992725,정보통신업,중소기업 35,1,1,1,3,1,=,2,2,2
2021,(주)투씨에스지,"서울특별시 영등포구 국제금융로 70, 17층(여의도동, 미원빌딩)",정보통신업,1,1,1,3,,2022,(주)투씨에스지,"서울특별시 구로구 디지털로32길 30, 15층(구로동,코오롱디지털타워빌란트1차)",37.4833536,126.8965156,정보통신업,중소기업 69,1,1,1,3,1,=,2,2,2
2021,글로벌엔지니어링(주),"서울특별시 금천구 디지털로 130, 1003,1005,1006호(가산동, 남성프라자)",제조업,1,1,1,3,,2022,글로벌엔지니어링(주),"서울특별시 금천구 디지털로 130, 1003호,1005~1006호(가산동,남성프라자)",37.4754508,126.8817091,제조업,중소기업 23,1,1,1,3,1,=,2,2,2
2021,넥스엔정보기술(주),"서울특별시 강남구 테헤란로 151, 4층 411호(역삼동, 역삼하이츠빌딩)",정보통신업,1,1,1,3,,2022,넥스엔정보기술(주),"서울특별시 강남구 언주로75길19, 203호(역삼동,역원빌딩)",37.4982943,127.0428262,정보통신업,중소기업 17,1,1,1,3,1,=,2,2,2
2021,동문이엔티(주),"서울특별시 구로구 디지털로 33길, 12 우림2차 501-505호",도매 및 소매업,1,1,1,3,,2022,동문이엔티(주),"서울특별시 구로구 디지털로33길 12, 501~505호(우림이비즈센처2차)",37.486541,126.8960952,도매 및 소매업,중소기업 86,1,1,1,3,1,=,2,2,2
2021,디딤365 주식회사,"서울특별시 금천구 디지털로9길 68, 2006~2010호(가산동, 대륭포스트타워 5차)",정보통신업,1,1,1,3,,2022,디딤365 주식회사,"서울특별시 금천구 디지털로9길 68, 2006~2010호,1601,1602호(대륭포스트타워5차)",37.4808988,126.8863264,정보통신업,중소기업 133,1,1,1,3,1,=,2,2,2
2021,알서포트 주식회사,"서울특별시 송파구 위례성대로 10, 8층~12층(방이동, 에스타워)","전문, 과학 및 기술 서비스업",1,1,1,3,,2022,알서포트 주식회사,"서울특별시 송파구 위례성대로 10, 9~15층(방이동,에스타워)",37.5166833,127.1134764,"전문, 과학 및 기술 서비스업",중소기업 305,1,1,1,3,1,=,2,2,2
2021,엠아이큐브솔루션 주식회사,"서울특별시 서초구 남부순환로 2419, 2층, 3층(서초동, 아트빌딩)",정보통신업,1,1,1,3,,2022,엠아이큐브솔루션 주식회사,"서울특별시 서초구 남부순환로 2419, 2,3층(서초동,아트빌딩)",37.4815459,127.0151072,정보통신업,중소기업 179,1,1,1,3,1,=,2,2,2
2021,유비씨엔(주),"서울특별시 금천구 가산디지털1로 212, 710호(가산동, 코오롱디지털타워애스턴)",정보통신업,1,1,1,3,,2022,유비씨엔(주),"서울특별시 금천구 가산디지털1로 212, 910호(가산동,코오롱애스턴)",37.4843157,126.8805164,정보통신업,중소기업 30,1,1,1,3,1,=,2,2,2
2021,주식회사 네오크레마,"서울특별시 송파구 중대로 211(가락동, 나은빌딩)",제조업,1,1,1,3,,2022,주식회사 네오크레마,"서울특별시 송파구 중대로 211(가락동,나은빌딩)",37.5007979,127.126684,제조업,중소기업 66,1,1,1,3,1,=,2,2,2
2021,주식회사 노버스메이,서울특별시 송파구 마천로39길 33(마천동),도매 및 소매업,1,1,1,3,,2022,주식회사 노버스메이,서울특별시 송파구 마천로39길 33,37.5002468,127.149209,도매 및 소매업,중소기업 33,1,1,1,3,1,=,2,2,2
2021,주식회사 더유제약,"서울특별시 영등포구 당산로 171, 1501호(당산동4가, 금강 펜테리움 IT타워)","전문, 과학 및 기술 서비스업",1,1,1,3,,2022,주식회사 더유제약,"서울특별시 영등포구 당산로 171, 1501호(금강펜테리움IT타워)",37.5298971,126.8981165,"전문, 과학 및 기술 서비스업",중소기업 193,1,1,1,3,1,=,2,2,2
2021,주식회사 데이사이드,"서울특별시 강남구 강남대로94길 53, 화성빌딩 4층(역삼동)",정보통신업,1,1,1,3,,2022,주식회사 데이사이드,"서울특별시 강남구 강남대로94길 53, 4층(역삼동,화성빌딩)",37.5005177,127.0314557,정보통신업,중소기업 45,1,1,1,3,1,=,2,2,2
2021,주식회사 미스터픽,서울특별시 강남구 테헤란로447 KB우준타워 16층,정보통신업,1,1,1,3,,2022,주식회사 미스터픽,"서울특별시 강남구 테헤란로 447, 16층(삼성동,KB우준타워)",37.5070522,127.05606,정보통신업,중소기업 26,1,1,1,3,1,=,2,2,2
2021,주식회사 애드오피,"서울특별시 강남구 테헤란로 623, 10층(삼성동, 삼성빌딩)","전문, 과학 및 기술 서비스업",1,1,1,3,,2022,주식회사 애드오피,"서울특별시 강남구 테헤란로 623, 10층(삼성동,삼성빌딩)",37.5099761,127.0656941,"전문, 과학 및 기술 서비스업",중소기업 28,1,1,1,3,1,=,2,2,2
2021,주식회사 이포넷,"서울특별시 강남구 테헤란로87길 21, 15층(삼성동, 동성빌딩)",정보통신업,1,1,1,3,,2022,주식회사 이포넷,"서울특별시 강남구 테헤란로87길 21, 15층(삼성동,동성빌딩) ",37.5090167,127.0582363,정보통신업,중소기업 207,1,1,1,3,1,=,2,2,2
2021,주식회사 커머스웨어,"서울특별시 성동구 광나루로8길 31, 905호(성수동2가, SK V1센터 2동)",정보통신업,1,1,1,3,,2022,주식회사 커머스웨어,"서울특별시 성동구 광나루로8길 31, 2동 905호(성수동2가,SK V1센터)",37.5475127,127.064007,정보통신업,중소기업 126,1,1,1,3,1,=,2,2,2
2021,주식회사 파수,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 비즈니스타워 17층",정보통신업,1,1,1,3,,2022,주식회사 파수,"서울특별시 마포구 월드컵북로 396, 비지니스센터 17층(상암동,누리꿈스퀘어 비즈니스타워)",37.579396,126.8897942,정보통신업,중소기업 226,1,1,1,3,1,=,2,2,2
2021,주식회사 플그림,"서울특별시 성동구 연무장5가길 7, w1404호(성수동2가, 성수역 현대테라스타워)",정보통신업,1,1,1,3,,2022,주식회사 플그림,"서울특별시 성동구 연무장5가길 7, W1404호(성수동2가,성수역 현대테라스타워)",37.5439435,127.0532314,정보통신업,대기업 79,1,1,1,3,1,=,2,2,2
2021,크리스피드(주),"서울특별시 송파구 법원로11길 25, B동 1001호",정보통신업,1,1,1,3,,2022,크리스피드(주),"서울특별시 송파구 법원로11길 25, B동 1001호(문정동,에이치비지니스파크)",37.4941097,127.0106092,정보통신업,중소기업 191,1,1,1,3,1,=,2,2,2
2021,풍림무약(주),"서울특별시 중구 소월로 10, 16층(남대문로5가, 단암빌딩)",제조업,1,1,1,3,,2022,풍림무약(주),"서울특별시 중구 소월로 10, 16층(남대문로5가,단암빌딩)",37.5585026,126.9753986,제조업,중소기업 200,1,1,1,3,1,=,2,2,2
2021,한국무라타전자(주),"서울특별시 서초구 서초대로 411, 21~22층(서초동, GT타워동관)",도매 및 소매업,1,1,1,3,,2022,한국무라타전자(주),"서울특별시 서초구 서초대로 411, 동관 21~22층(서초동,GT타워)",37.4977803,127.0261927,도매 및 소매업,중견기업 203,1,1,1,3,1,=,2,2,2
2021,호스트센터(주),"서울특별시 서초구 법원로1길 6, 1층(서초동)",정보통신업,1,1,1,3,,2022,호스트센터(주),"서울특별시 서초구 법원로1길 6, 1층(서초동)",37.4934675,127.0098909,정보통신업,중소기업 41,1,1,1,3,1,=,2,2,2
2021,(주)더블미,"서울특별시 중구 청계천로 40, 13층 1316호(다동, 한국관광공사)",정보통신업,1,0,0,1,,2022,(주)더블미,"서울특별시 서초구 강남대로 148, 6층 2호(양재동,상록빌딩)",37.48453,127.0399084,정보통신업,중소기업 21,1,1,1,3,2,++,2,1,1
2021,(주)명인이노,"서울특별시 금천구 벚꽃로 278, 401~402호 (가산동, SJ테크노빌)",도매 및 소매업,0,1,1,2,,2022,(주)명인이노,"서울특별시 금천구 벚꽃로 278, 401,402호(가산동,SJ테크노빌)",37.4793995,126.8846023,도매 및 소매업,중소기업 17,1,1,1,3,2,+,1,2,2
2021,(주)아이투맥스,"서울특별시 마포구 마포대로137, 6층 (공덕동, KPX빌딩)",정보통신업,1,1,0,2,,2022,(주)아이투맥스,"서울특별시 마포구 마포대로 137, 6층(공덕동,KPX빌딩)",37.551199,126.9625325,정보통신업,중소기업 170,1,1,1,3,2,+,2,2,1
2021,(주)엑스퍼넷,"서울특별시 구로구 디지털로31길 38-21, 609호 (구로동, 이앤씨벤처드림타워3차)",정보통신업,0,1,1,2,,2022,(주)엑스퍼넷,"서울특별시 구로구 디지털로31길 38-21, 609호(구로동,이앤씨벤쳐드림타워3차)",37.486478,126.893699,정보통신업,중소기업 78,1,1,1,3,2,+,1,2,2
2021,(주)예지솔루션,"서울특별시 금천구 가산디지털2로 166, 3층(가산동, 에이스k1타워)","전문, 과학 및 기술 서비스업",0,1,1,2,,2022,(주)예지솔루션,"서울특별시 금천구 가산디지털2로 166, 3층(가산동,에이스K1타워)",37.4853698,126.8810751,"전문, 과학 및 기술 서비스업",중소기업 158,1,1,1,3,2,+,1,2,2
2021,(주)이즈파크,"서울특별시 금천구 가산디지털1로 145, 1001호(가산동, 에이스하이엔드타워3차)",정보통신업,1,1,0,2,,2022,(주)이즈파크,"서울특별시 금천구 가산디지털1로 145, 1001호(가산동,에이스하이엔드타워3차)",37.4781156,126.8815677,정보통신업,중소기업 145,1,1,1,3,2,+,2,2,1
2021,(주)코리아리서치인터내셔널,"서울특별시 강남구 테헤란로7길 12, 3층(역삼동, 허바허바빌딩)","전문, 과학 및 기술 서비스업",0,1,1,2,,2022,(주)코리아리서치인터내셔널,"서울특별시 서초구 사임당로 18, 8층(석초동,석오빌딩)",37.4881404,127.0192861,"전문, 과학 및 기술 서비스업",중소기업 79,1,1,1,3,2,+,1,2,2
2021,(주)큐빅테크,"서울특별시 구로구 디지털로 272, 301호(구로동, 한신IT타워) ",정보통신업,1,0,1,2,,2022,(주)큐빅테크,"서울특별시 구로구 디지털로 272, 301~303호(구로동,한신IT타워)",37.4824724,126.894424,정보통신업,중소기업 52,1,1,1,3,2,+,2,1,2
2021,(주)토마토시스템,"서울특별시 강남구 논현로128길 5, 장뻘빌딩 5,6,8층",정보통신업,0,1,1,2,,2022,(주)토마토시스템,"서울특별시 강남구 논현로128길 5, 장뻘빌딩 5,6,8층",37.5135827,127.0316499,정보통신업,중소기업 215,1,1,1,3,2,+,1,2,2
2021,(주)티오이십일,"서울특별시 서초구 서초대로 350, 2층(서초동, 서초동동아빌라트)",정보통신업,1,0,1,2,,2022,(주)티오이십일,"서울특별시 서초구 서초대로 350, 2층(서초동,동아빌라트)",37.4951551,127.0198169,정보통신업,중소기업 67,1,1,1,3,2,+,2,1,2
2021,(주)플래티어,"서울특별시 송파구 법원로9길 26, D동 6층 (문정동, 에이치비지니스파크)",정보통신업,1,1,0,2,,2022,(주)플래티어,"서울특별시 송파구 법원로9길 26, D동 6층",37.51492,127.10438,정보통신업,중소기업 233,1,1,1,3,2,+,2,2,1
2021,(주)피앰아이,"서울특별시 서초구 강남대로91길 16, 2층(잠원동, 서린빌딩)","전문, 과학 및 기술 서비스업",1,0,1,2,,2022,(주)피앰아이,"서울특별시 서초구 강남대로91길 16, 2층(잠원동,서린빌딩)",37.5121342,127.0197895,"전문, 과학 및 기술 서비스업",중소기업 57,1,1,1,3,2,+,2,1,2
2021,노아에이티에스(주),"서울특별시 종로구 종로5길 68, 5층(수송동, 코리안리빌딩)",정보통신업,1,0,1,2,,2022,노아에이티에스(주),"서울특별시 종로구 청계천로 41, 12층(서린동,영풍빌딩)",37.5696304,126.9821706,정보통신업,중소기업 152,1,1,1,3,2,+,2,1,2
2021,아이낸스(주),"서울특별시 영등포구 여의대방로69길 23, 6층 (여의도동, 한국금융IT빌딩)",정보통신업,0,1,0,1,,2022,아이낸스(주),"서울특별시 영등포구 여의대방로69길 23, 6층(여의도동,한국금융IT빌딩)",37.5208986,126.9300778,정보통신업,중소기업 20,1,1,1,3,2,++,1,2,1
2021,엠포플러스(주),"서울특별시 성동구 아차산로17길 48, SK V1 센터 1동 1619호",정보통신업,0,1,1,2,,2022,엠포플러스(주),"서울특별시 성동구 아차산로17길 48, 1동 1619호(성수2가,SK V1센터)",37.5476689,127.0465524,정보통신업,중소기업 26,1,1,1,3,2,+,1,2,2
2021,오아 주식회사,서울특별시 서초구 효령로46길 97,도매 및 소매업,1,0,1,2,,2022,오아 주식회사,서울특별시 서초구 효령로46길 97(서초동),37.4790472,127.0089313,도매 및 소매업,중소기업 170,1,1,1,3,2,+,2,1,2
2021,주식회사 님버스네트웍스,"서울특별시 구로구 디지털로306, 11층 1108호(구로동, 대륭포스터타워2차)",정보통신업,0,0,1,1,,2022,주식회사 님버스네트웍스,"서울특별시 구로구 디지털로 306, 1108호(구로동,대륭포스트타워2차)",37.4858838,126.8973216,정보통신업,중소기업 32,1,1,1,3,2,++,1,1,2
2021,주식회사 매사,"서울특별시 영등포구 선유로49길 23, 1001호(양평동4가, 선유도역2차 아이에스비즈타워)",정보통신업,1,1,0,2,,2022,주식회사 매사,"서울특별시 영등포구 선유로49길 23, 1001호(양평동4가,아이에스비즈타워2차)",37.5354789,126.8943457,정보통신업,중소기업 33,1,1,1,3,2,+,2,2,1
2021,주식회사 모비젠,"서울특별시 송파구 법원로 128, C동 1610-1621호 (문정동, SK V1 GL메트로시티)",정보통신업,1,1,0,2,,2022,주식회사 모비젠,"서울특별시 송파구 법원로 128, C동 1610~1621호(문정동,SK V1 GL메트로시티)",37.4941097,127.0106092,정보통신업,중소기업 215,1,1,1,3,2,+,2,2,1
2021,주식회사 세계로시스템,"서울특별시 금천구 가산디지털1로 137, 1501호(가산동, IT캐슬2차)",정보통신업,1,0,0,1,,2022,주식회사 세계로시스템,"서울특별시 금천구 가산디지털1로 137, 1501호(가산동,IT캐슬2차)",37.4776295,126.8819887,정보통신업,중소기업 30,1,1,1,3,2,++,2,1,1
2021,주식회사 소프트보울,"서울특별시 서초구 반포대로10, 신원빌딩 4층 ",정보통신업,0,1,1,2,,2022,주식회사 소프트보울,"서울특별시 서초구 반포대로 10, 4층(서초동,신원빌딩)",37.4816121,127.0129701,정보통신업,중소기업 22,1,1,1,3,2,+,1,2,2
2021,주식회사 신시웨이,"서울특별시 송파구 법원로9길 26, D동 405호(문정동, 에이치비지니스파크)",정보통신업,0,1,1,2,,2022,주식회사 신시웨이,"서울특별시 송파구 법원로9길 26, D동 405호(문정동,에이치비지니스파크)",37.51492,127.10438,정보통신업,중소기업 61,1,1,1,3,2,+,1,2,2
